"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","ZIhurdle_freshInt_effect","ZIhurdle_freshInt_se","ZIhurdle_freshInt_pvalue","ZIhurdle_pastInt_effect","ZIhurdle_pastInt_se","ZIhurdle_pastInt_pvalue","ZIhurdle_phaseEffect","ZIhurdle_genderEffect","ZIhurdle_ageEffect","ZIhurdle_bmiEffect","logit_enoughObservationsAbove10TPMforEstimation","logit_modelDeviance","logit_tpmThreshold","logit_freshInt_effect","logit_freshInt_se","logit_freshInt_pvalue","logit_pastInt_effect","logit_pastInt_se","logit_pastInt_pvalue","logit_phaseEffect","logit_genderEffect","logit_ageEffect","logit_bmiEffect","freshInt_pvalue_correct","pastInt_pvalue_correct","ZIhurdle_freshInt_pvalue_correct","ZIhurdle_pastInt_pvalue_correct","logit_freshInt_pvalue_correct","logit_pastInt_pvalue_correct"
NA,"K07085",0,0.9157,2.8736,42.2212,34.356,185.567,"log-Gaussian",0.4987,NA,0.0635,0.0802,0.4295,-0.0341,0.0801,0.6707,-0.0419,-0.0548,-0.0016,-0.0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.2795,34.356,0.4039,0.293,0.1681,0.1177,0.2909,0.6858,-0.2649,-0.0415,0.0022,-0.038,0.772,0.8684,NA,NA,0.9994,NA
NA,"K07089",0,0.9518,3.5681,26.0657,22.8815,104.051,"Gaussian",0.7822,NA,-1.4358,0.9834,0.1455,-1.6088,0.9814,0.1024,-0.6506,2.398,0.0577,-0.2571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4835,22.8815,-0.2445,0.34,0.472,-0.2364,0.3414,0.4886,-0.0641,0.1953,0.0028,0.0131,0.5968,0.5283,NA,NA,0.9994,NA
NA,"K07090",0,1,62.1057,237.0351,235.7725,377.888,"Gaussian",0.5924,NA,-3.4596,4.1117,0.4009,-4.4668,4.1042,0.2774,4.6249,6.4626,0.5036,2.2118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4989,235.7725,0.133,0.3463,0.701,0.0986,0.3472,0.7763,0.6087,-0.0825,0.0343,0.1395,0.7601,0.7114,NA,NA,0.9994,NA
NA,"K07091",0,0.6386,0.6592,16.2821,12.4138,91.7085,"log-Gaussian",0.5623,NA,0.054,0.0721,0.4547,-0.0181,0.072,0.8021,-0.0158,0.0079,0.0039,-0.0283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4605,12.4138,0.481,0.3356,0.1518,0.0482,0.3317,0.8845,-0.2775,0.215,0.0109,-0.0914,0.7841,0.9258,NA,NA,0.9994,NA
NA,"K07095",0,1,68.3817,323.2071,326.716,431.91,"Gaussian",0.5194,NA,-5.3643,4.9274,0.2773,-5.5553,4.919,0.2598,5.5822,-18.1864,-0.0691,1.9006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4133,326.716,-0.0119,0.3199,0.9702,0.0561,0.3223,0.8618,0.3873,-0.9574,-0.012,0.1211,0.7114,0.7025,NA,NA,0.9997,NA
NA,"K07096",0,1,12.7469,54.6148,54.581,136.306,"Gaussian",0.7837,NA,-1.8992,1.1682,0.1053,-0.665,1.1658,0.5689,1.0118,-1.2664,-0.0185,0.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.594,54.581,-0.1262,0.3853,0.7433,0.275,0.3817,0.4712,0.4541,-0.1957,-0.0068,0.0192,0.5311,0.8285,NA,NA,0.9994,NA
NA,"K07098",0,1,78.9591,237.1422,237.5685,418.711,"Gaussian",0.5138,NA,1.3347,3.8333,0.728,-2.1438,3.8268,0.5758,0.776,3.6966,0.5875,-1.4632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4406,237.5685,0.0797,0.3279,0.8081,0.1277,0.3288,0.6977,-0.1554,0.4855,0.0371,-0.064,0.8992,0.8285,NA,NA,0.9997,NA
NA,"K07099",0,1,14.3664,64.2596,63.6144,122.343,"Gaussian",0.609,NA,-1.4422,1.6197,0.374,-0.4038,1.6167,0.8029,1.1318,6.5208,0.3098,-0.2303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4388,63.6144,-0.6714,0.3305,0.0422,-0.294,0.3281,0.3702,0.1982,0.6773,0.0406,-0.0933,0.7525,0.9258,NA,NA,0.9829,NA
NA,"K07102",0,0.506,0.5985,12.8449,10.0561,68.9458,"log-Gaussian",0.5377,NA,0.0145,0.0743,0.8458,-0.0182,0.0741,0.8065,-0.0484,-0.026,0.002,-0.0389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4272,10.0561,0.0932,0.3236,0.7734,-0.1621,0.3234,0.6162,-0.106,0.1109,0.0087,-0.0689,0.9404,0.928,NA,NA,0.9994,NA
NA,"K07105",0,1,46.682,214.7684,219.5425,330.56,"Gaussian",0.6934,NA,-7.5998,3.8014,0.0466,-8.3027,3.794,0.0295,6.6012,-13.428,-0.6001,3.0458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5848,219.5425,0.035,0.3782,0.9263,-0.4357,0.3818,0.2538,0.5617,-0.9829,-0.0346,0.1676,0.3971,0.348,NA,NA,0.9997,NA
