"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","ZIhurdle_freshInt_effect","ZIhurdle_freshInt_se","ZIhurdle_freshInt_pvalue","ZIhurdle_pastInt_effect","ZIhurdle_pastInt_se","ZIhurdle_pastInt_pvalue","ZIhurdle_phaseEffect","ZIhurdle_genderEffect","ZIhurdle_ageEffect","ZIhurdle_bmiEffect","logit_enoughObservationsAbove10TPMforEstimation","logit_modelDeviance","logit_tpmThreshold","logit_freshInt_effect","logit_freshInt_se","logit_freshInt_pvalue","logit_pastInt_effect","logit_pastInt_se","logit_pastInt_pvalue","logit_phaseEffect","logit_genderEffect","logit_ageEffect","logit_bmiEffect","freshInt_pvalue_correct","pastInt_pvalue_correct","ZIhurdle_freshInt_pvalue_correct","ZIhurdle_pastInt_pvalue_correct","logit_freshInt_pvalue_correct","logit_pastInt_pvalue_correct"
NA,"K00003",0,1,53.2414,194.6835,197.9515,248.466,"Gaussian",0.5017,NA,-2.2552,2.9121,0.4394,-3.7736,2.9071,0.1954,3.9208,-4.1225,0.0527,1.1228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3972,197.9515,-0.3513,0.316,0.2663,-0.3416,0.3162,0.2801,0.0532,-0.3908,0.0054,0.0352,0.7773,0.6558,NA,NA,0.9994,NA
NA,"K00005",0,0.994,6.2805,34.1216,31.6779,81.7872,"Gaussian",0.7354,NA,-0.0817,1.0697,0.9392,-0.7241,1.0676,0.4983,1.3987,-3.0128,-0.1186,1.1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6408,31.6779,-0.1321,0.4089,0.7466,-0.1735,0.409,0.6714,0.5144,-0.4098,-0.0264,0.1408,0.9788,0.8017,NA,NA,0.9994,NA
NA,"K00008",0,0.7078,2.2753,15.2726,13.4084,73.5507,"Gaussian",0.7012,NA,0.6384,0.7245,0.3791,0.069,0.7231,0.924,0.3944,-1.6845,-0.051,0.1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.54,13.4084,0.0781,0.3622,0.8293,-0.2844,0.36,0.4294,0.1631,-0.5776,-0.0145,-0.0364,0.7536,0.9717,NA,NA,0.9997,NA
NA,"K00009",0,0.9759,5.2603,31.699,28.7466,115.481,"Gaussian",0.6584,NA,0.4881,1.4308,0.7333,5.0511,1.4281,5e-04,1.0705,-5.4399,-0.1472,-0.6673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4438,28.7466,-0.0028,0.3286,0.9932,0.4272,0.3298,0.1951,0.3768,-0.8559,-0.0184,-0.1392,0.9023,0.08,NA,NA,0.9997,NA
NA,"K00010",0,0.988,3.8333,34.9331,31.6214,111.908,"log-Gaussian",0.6106,NA,-0.0612,0.0426,0.152,-8e-04,0.0425,0.9844,0.0242,-0.0267,-0.0022,-0.0078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4348,31.6214,-0.3449,0.3269,0.2914,0.0663,0.3251,0.8384,0.2508,0.2837,-0.0227,-0.0088,0.6051,0.9913,NA,NA,0.9994,NA
NA,"K00012",0,1,19.646,102.4731,102.248,228.416,"Gaussian",0.6796,NA,-2.0387,2.0571,0.3226,-5.0066,2.053,0.0154,-1.4619,-0.3745,-0.0566,0.4836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5687,102.248,0.1271,0.3727,0.7331,0.0557,0.3718,0.8809,-0.665,-0.4975,-0.0157,0.0578,0.7302,0.2834,NA,NA,0.9994,NA
NA,"K00013",0,1,35.6607,122.9913,124.0125,161.198,"Gaussian",0.5934,NA,-0.5244,1.6091,0.7447,-3.973,1.6061,0.014,1.3106,0.2752,-0.1496,0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5152,124.0125,0.0351,0.3513,0.9205,-0.1429,0.3524,0.6852,-0.0639,0.0191,-0.0218,0.1782,0.9047,0.2783,NA,NA,0.9997,NA
NA,"K00014",0,1,42.7522,193.6769,195.8585,251.827,"Gaussian",0.4835,NA,-0.9211,2.8336,0.7454,-4.7729,2.8288,0.0927,2.4068,-2.9829,0.108,1.1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.412,195.8585,0.2398,0.3211,0.4552,0.1135,0.3195,0.7225,-0.1842,-0.5208,-0.0023,0.0752,0.9047,0.5109,NA,NA,0.9994,NA
NA,"K00016",0,1,21.5485,137.7511,137.826,232.58,"Gaussian",0.5856,NA,-0.8184,2.7661,0.7676,0.6,2.761,0.8281,4.6127,-2.9838,-0.043,1.3955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4242,137.826,0.0316,0.3204,0.9215,0.1663,0.3254,0.6093,0.5911,-0.1276,0.003,0.1178,0.9152,0.9352,NA,NA,0.9997,NA
NA,"K00018",0,1,26.9845,90.4264,89.9561,134.474,"Gaussian",0.5535,NA,-1.1253,1.6831,0.5043,-3.2617,1.6801,0.0533,0.4944,3.7236,0.064,0.3557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3353,89.9561,-0.1982,0.3029,0.5128,-0.5387,0.304,0.0764,0.1748,0.5488,0.0132,0.0717,0.8053,0.4237,NA,NA,0.9994,NA
NA,"K00020",0,0.9849,4.0023,25.3191,23.901,71.0569,"log-Gaussian",0.6819,NA,-0.0373,0.0318,0.2426,-0.102,0.0318,0.0015,0.0129,-0.0948,0.0025,0.0325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.488,23.901,-0.4247,0.3432,0.2158,-0.4952,0.3441,0.1501,-0.313,-0.2455,0.0061,0.194,0.6959,0.1181,NA,NA,0.9994,NA
NA,"K00024",0,0.3434,0.4295,10.1938,7.707,91.812,"log-Gaussian",0.641,NA,-0.0161,0.0636,0.8007,-0.0435,0.0635,0.4938,0.0375,0.1428,0.0035,-0.0407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4894,10,-0.5204,0.3629,0.1516,-0.2979,0.3565,0.4035,0.1198,0.6087,0.023,-0.0441,0.9258,0.7991,NA,NA,0.9994,NA
"Pyruvate","K00027",0,1,29.9924,126.576,129.1985,155.36,"Gaussian",0.4875,NA,-1.3586,1.7748,0.4447,0.0158,1.7718,0.9929,1.6246,-0.224,0.112,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4522,129.1985,-0.3928,0.3318,0.2364,0.2905,0.3313,0.3806,-0.0373,-0.1748,0.034,0.0128,0.7797,0.9961,NA,NA,0.9994,NA
NA,"K00029",0.003,0.1416,0,5.2113,2.571,39.5204,"log-Gaussian",0.7859,NA,-0.0395,0.0577,0.4943,-0.0352,0.0576,0.5413,0.0912,-0.0556,-0.0088,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6518,10,-0.3907,0.5674,0.4911,0.2247,0.539,0.6768,-0.1859,-0.0984,-0.0397,-0.0205,0.7996,0.8176,NA,NA,0.9994,NA
NA,"K00030",0,0.9157,1.0457,21.2099,20.1729,56.5064,"log-Gaussian",0.6724,NA,-0.0638,0.0388,0.1009,-0.1315,0.0387,8e-04,0.0356,-0.0471,-0.0016,0.0308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4685,20.1729,-0.3166,0.3347,0.3443,-0.8315,0.339,0.0142,0.2378,-0.3612,-0.0037,0.1028,0.5242,0.0992,NA,NA,0.9994,NA
NA,"K00031",0,1,36.9328,110.9014,112.1445,145.319,"Gaussian",0.5447,NA,-0.8171,1.4243,0.5667,-0.9407,1.4218,0.5088,0.3109,0.9402,0.0539,-0.4579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3583,112.1445,-0.0564,0.3068,0.8542,0.2959,0.3087,0.3378,-0.4421,-0.037,0.016,-0.1111,0.8285,0.8053,NA,NA,0.9997,NA
NA,"K00033",0,0.9639,4.2149,31.8246,26.2989,103.058,"log-Gaussian",0.626,NA,-0.0344,0.0494,0.4868,-0.078,0.0493,0.1146,0.0126,0.0631,-0.0053,0.0319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3885,26.2989,-0.2781,0.315,0.3774,-0.4451,0.3131,0.1552,0.2541,0.2025,-0.0152,0.1118,0.7965,0.5495,NA,NA,0.9994,NA
NA,"K00036",0,0.5783,1.3959,14.0744,11.6088,71.2488,"log-Gaussian",0.7096,NA,0.0256,0.0538,0.6348,-0.1558,0.0537,0.004,0.0252,0.0553,-0.0105,0.0587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4414,11.6088,0.0828,0.3298,0.8019,-0.5374,0.3284,0.1017,0.2348,-0.0682,-0.0347,0.1929,0.8523,0.1776,NA,NA,0.9997,NA
NA,"K00041",0,1,12.1726,42.0311,41.6701,88.454,"Gaussian",0.65,NA,-0.6295,1.0518,0.5501,0.1683,1.0498,0.8727,-1.3522,1.3142,-0.0689,0.4048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3626,41.6701,0.2138,0.3082,0.4878,0.2681,0.3071,0.3826,-0.558,0.2704,-0.0063,0.0945,0.8226,0.9502,NA,NA,0.9994,NA
NA,"K00042",0,0.7169,1.7568,15.6349,13.7264,76.5418,"log-Gaussian",0.7291,NA,-0.0538,0.0456,0.2398,-0.0166,0.0455,0.7155,0.0387,0.0134,0.0045,0.0272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5089,13.7264,-0.1523,0.3503,0.6638,0.1522,0.3503,0.664,0.3217,-0.1492,0.0168,0.088,0.6954,0.8923,NA,NA,0.9994,NA
NA,"K00046",0,0.991,5.3724,43.5581,43.1873,85.3373,"log-Gaussian",0.6076,NA,-0.0249,0.0375,0.5068,-0.0717,0.0374,0.0565,-0.0124,0.0427,-0.0037,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3341,43.1873,0.0355,0.3024,0.9064,-0.1159,0.3018,0.7011,-0.1657,0.4106,-0.026,0.0421,0.8053,0.4307,NA,NA,0.9997,NA
NA,"K00048",0,1,26.0795,98.9056,99.9823,144.584,"Gaussian",0.6903,NA,-1.8267,1.6814,0.2783,-1.3474,1.6781,0.4228,2.2491,-3.5778,-0.2465,0.9264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5328,99.9823,-0.1672,0.3584,0.6408,-0.1539,0.3586,0.6678,-0.1318,-0.5285,-0.0317,0.142,0.7114,0.7677,NA,NA,0.9994,NA
NA,"K00052",0,1,36.2566,130.7786,133.4495,178.363,"Gaussian",0.6424,NA,-0.7339,1.6244,0.6518,-3.1824,1.6213,0.0507,1.0381,0.396,-0.1181,0.4734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4466,133.4495,-0.007,0.3298,0.9831,0.0853,0.3292,0.7955,-0.2267,-0.0329,-0.0144,0.138,0.8594,0.4123,NA,NA,0.9997,NA
NA,"K00053",0,1,52.7852,166.0516,164.03,303.566,"Gaussian",0.6447,NA,-0.7954,2.7451,0.7722,-5.6531,2.7398,0.0401,1.6841,1.1503,-0.3736,1.1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4737,164.03,0.1986,0.3367,0.5553,-0.6033,0.3398,0.0758,0.1873,-0.5113,-0.0177,0.1365,0.9165,0.3755,NA,NA,0.9994,NA
NA,"K00057",0,1,42.144,144.3711,144.9165,199.748,"Gaussian",0.4886,NA,-1.2011,1.9076,0.5295,-5.4622,1.9044,0.0045,1.2331,4.7458,0.1213,0.6785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4633,144.9165,0.4271,0.338,0.2065,-0.4206,0.3334,0.2071,0.1759,0.8032,0.0248,0.1103,0.8135,0.1776,NA,NA,0.9994,NA
NA,"K00058",0,1,27.3175,107.8449,107.3905,263.468,"Gaussian",0.6226,NA,-2.0939,2.1537,0.3318,-4.1392,2.1496,0.0553,4.485,-0.1115,0.1501,1.0071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4269,107.3905,0.1313,0.3246,0.6858,-0.3743,0.3251,0.2496,0.2988,-0.0807,0.011,0.1906,0.7344,0.4285,NA,NA,0.9994,NA
"Acetyl-CoA","K00059",0,1,60.7145,281.9364,281.683,456.322,"Gaussian",0.4759,NA,-4.9706,3.8477,0.1975,-9.6027,3.8413,0.013,4.062,5.3577,0.0755,1.3309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3939,281.683,-0.2789,0.315,0.3759,-0.4236,0.3158,0.1798,-0.0545,-0.0242,0.0028,0.0324,0.6569,0.2672,NA,NA,0.9994,NA
NA,"K00060",0,0.3012,1.5654,10.1973,7.2211,80.257,"log-Gaussian",0.7361,NA,-0.0272,0.046,0.5547,-0.1254,0.0459,0.0067,0.0295,0.1935,0.0149,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5026,10,-0.158,0.368,0.6676,-0.5841,0.3848,0.129,0.1359,1.0551,0.0693,0.009,0.8248,0.1995,NA,NA,0.9994,NA
NA,"K00065",0.003,0.5783,0,12.2019,10.9357,45.8659,"Gaussian",0.64,NA,0.2614,0.5725,0.6483,0.2699,0.5714,0.6371,0.67,-0.1684,0.062,0.2918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4585,10.9357,0.2419,0.3336,0.4683,0.3999,0.3315,0.2277,0.4161,-0.2361,0.0271,0.0606,0.8568,0.8524,NA,NA,0.9994,NA
NA,"K00067",0,1,50.698,171.9855,175.4795,246.132,"Gaussian",0.6508,NA,-2.1957,2.5206,0.3845,-5.3956,2.5158,0.0329,1.0216,-12.8777,0.077,0.0168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5247,175.4795,-0.2648,0.3542,0.4548,-0.4424,0.3566,0.2148,0.091,-1.0768,0.0308,-0.0124,0.7543,0.3582,NA,NA,0.9994,NA
NA,"K00068",0,0.8645,4.3246,19.4053,17.6222,64.9188,"log-Gaussian",0.6344,NA,0.0243,0.0429,0.5713,0.135,0.0428,0.0018,0.05,-0.0886,-0.0016,-0.0087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3993,17.6222,0.2649,0.3172,0.4036,0.7432,0.318,0.0195,0.532,-0.4832,-0.0146,-0.045,0.8285,0.1275,NA,NA,0.9994,NA
NA,"K00074",0,1,14.5864,46.0963,45.1833,73.2846,"Gaussian",0.6102,NA,-0.3338,1.0643,0.7541,1.2106,1.0624,0.2555,1.8977,-0.7638,0.1401,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4303,45.1833,0.1633,0.3258,0.6163,0.3483,0.3244,0.283,0.4827,-0.2749,0.0253,0.0723,0.9092,0.7023,NA,NA,0.9994,NA
NA,"K00075",0,1,59.0104,188.9819,188.349,263.648,"Gaussian",0.5355,NA,-3.5895,2.4684,0.1471,-5.8659,2.4641,0.018,3.1896,2.705,0.2157,1.7762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5289,188.349,0.0265,0.3572,0.9408,-0.2757,0.3592,0.4426,0.2842,0.6753,0.0191,0.245,0.5979,0.2952,NA,NA,0.9997,NA
NA,"K00077",0,1,44.5871,153.1714,154.994,205.882,"Gaussian",0.4608,NA,0.2423,2.491,0.9226,-2.1342,2.4871,0.3916,2.2673,1.3745,0.3211,1.5818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4015,154.994,0.0438,0.3188,0.8908,0.3081,0.319,0.334,-0.0596,0.1536,0.0341,0.1395,0.9709,0.7566,NA,NA,0.9997,NA
NA,"K00078",0,0.997,9.4223,44.0816,42.9902,86.8489,"Gaussian",0.6413,NA,0.4846,1.2178,0.691,0.6795,1.2155,0.5766,0.1206,2.0804,-0.1087,0.4136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5238,42.9902,0.363,0.3553,0.307,0.3846,0.3541,0.2774,0.0684,0.1998,-0.0266,0.0283,0.8796,0.8285,NA,NA,0.9994,NA
NA,"K00087",0,0.9729,3.4173,19.7532,19.1053,47.09,"Gaussian",0.5449,NA,-0.7276,0.6251,0.2455,-0.5063,0.624,0.4179,0.3505,-0.903,0.0616,0.1546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3248,19.1053,0.0916,0.3018,0.7614,0.2048,0.3007,0.4958,0.0074,-0.1309,0.0352,0.0017,0.6981,0.7658,NA,NA,0.9994,NA
NA,"K00088",0,1,37.292,160.3962,160.101,200.645,"Gaussian",0.45,NA,-2.0356,1.9888,0.307,-4.6622,1.9856,0.0196,1.9106,2.9556,0.1927,0.4713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5101,160.101,-0.0232,0.3481,0.947,-0.3788,0.351,0.2804,0.723,0.808,0.0298,0.1143,0.7218,0.2988,NA,NA,0.9997,NA
NA,"K00091",0,0.747,0.4737,20.6659,15.8678,91.5014,"log-Gaussian",0.8166,NA,-0.062,0.0489,0.2063,-0.0535,0.0488,0.2744,8e-04,0.1166,0.0068,-0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5838,15.8678,-0.2781,0.379,0.4631,-0.0331,0.3776,0.9302,0.4454,0.2959,0.0251,-0.0352,0.6654,0.7092,NA,NA,0.9994,NA
NA,"K00096",0,1,11.3364,54.5871,54.0447,104.381,"Gaussian",0.6403,NA,-0.4773,1.4729,0.7462,2.0116,1.4701,0.1724,2.1965,-4.1155,0.0949,-0.4905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.446,54.0447,-0.1171,0.3289,0.7219,0.0448,0.3282,0.8915,0.4067,-0.3849,0.0183,-0.1304,0.9049,0.6331,NA,NA,0.9994,NA
NA,"K00099",0,1,47.9118,149.7806,151.1155,193.074,"Gaussian",0.4414,NA,-1.7376,1.8183,0.3401,-4.5637,1.8154,0.0125,1.3035,4.1745,0.1455,0.6332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4497,151.1155,0.0053,0.3298,0.9873,-0.3355,0.3317,0.3118,0.2626,0.5965,0.0244,0.1258,0.7365,0.2607,NA,NA,0.9997,NA
NA,"K00100",0,0.6596,2.6,13.7619,12.3248,44.5391,"Gaussian",0.6835,NA,0.2077,0.6309,0.7422,1.1662,0.6297,0.0652,0.6564,-2.5461,-0.0763,-0.3399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4084,12.3248,0.2678,0.3181,0.3998,0.8493,0.324,0.0088,0.5642,-0.7917,-0.0239,-0.1479,0.9046,0.4567,NA,NA,0.9994,NA
NA,"K00104",0,0.9307,6.2871,19.2788,17.4928,72.5905,"Gaussian",0.5503,NA,0.8483,0.9163,0.3554,1.7551,0.9146,0.0561,0.6542,-2.8083,0.0981,-0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4167,17.4928,0.3501,0.3199,0.2737,0.9131,0.326,0.0051,0.2257,-1.0489,0.0144,-0.0752,0.7464,0.4294,NA,NA,0.9994,NA
NA,"K00111",0,1,29.2228,82.6227,83.6589,119.797,"Gaussian",0.5952,NA,-1.6042,1.4916,0.2831,-0.9173,1.4889,0.5383,1.4227,-1.9294,0.1422,1.4139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4466,83.6589,-0.1751,0.3304,0.5962,0.2441,0.3309,0.4608,0.1941,-0.608,0.034,0.1532,0.7141,0.8166,NA,NA,0.9994,NA
NA,"K00123",0,0.7108,0.9862,13.9309,13.3642,39.3861,"log-Gaussian",0.6567,NA,-0.0313,0.045,0.4876,0.0342,0.0449,0.4465,0.0569,-0.2772,-0.0041,-0.0153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4783,13.3642,0.1568,0.3394,0.644,0.3757,0.3411,0.2708,0.1299,-1.1889,-0.012,-0.1139,0.7965,0.7797,NA,NA,0.9994,NA
NA,"K00125",0,0.997,9.5058,32.4487,31.8364,58.6907,"Gaussian",0.5472,NA,0.2763,0.8849,0.7551,-0.5419,0.8834,0.5401,0.3257,-1.3629,0.0357,0.1221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.409,31.8364,0.174,0.3198,0.5863,-0.4409,0.3187,0.1665,0.15,-0.252,0.0178,0.0346,0.9094,0.8172,NA,NA,0.9994,NA
NA,"K00127",0.003,0.1054,0,5.0972,3.8864,48.5576,"log-Gaussian",0.7265,NA,0.0069,0.0476,0.8851,-0.0647,0.0475,0.1749,0.1088,0.0059,0.0051,0.0055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.6116,10,0.1276,0.5437,0.8145,-0.998,0.6432,0.1208,1.3506,0.114,0.0191,-0.0197,0.956,0.634,NA,NA,0.9997,NA
NA,"K00133",0,1,37.9298,149.7551,149.4515,198.442,"Gaussian",0.5528,NA,-1.4852,1.8663,0.4269,-4.5864,1.8631,0.0145,2.0296,3.8589,0.2833,0.8225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5176,149.4515,0.0432,0.3528,0.9025,-0.7092,0.3555,0.046,-0.2287,0.9616,0.0495,0.139,0.7702,0.2819,NA,NA,0.9997,NA
NA,"K00134",0,1,44.4671,166.2624,165.949,233.873,"Gaussian",0.6241,NA,-1.413,2.2091,0.523,-3.9185,2.2051,0.0767,1.492,6.6002,0.5715,0.6419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5416,165.949,0.1747,0.3622,0.6295,-0.3733,0.3645,0.3058,0.0609,0.7595,0.0581,0.1429,0.8094,0.479,NA,NA,0.9994,NA
"Acetyl-CoA","K00140",0.003,0.1747,0,6.6995,5.9516,23.1285,"log-Gaussian",0.6921,NA,-0.0466,0.0453,0.3044,-0.1078,0.0452,0.0178,0.005,0.0039,-0.0037,0.0422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.629,10,-0.1916,0.5037,0.7037,-0.2591,0.5009,0.605,-0.1401,-0.5737,-0.0259,0.2262,0.7216,0.2952,NA,NA,0.9994,NA
NA,"K00145",0,1,41.7432,154.982,157.271,194.84,"Gaussian",0.5604,NA,-1.1206,1.9647,0.5689,-4.662,1.9611,0.0182,1.6537,-1.6126,-0.0524,-0.0089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3624,157.271,-0.0543,0.3073,0.8596,-0.2214,0.3081,0.4723,-0.1216,-0.5124,-0.011,0.0104,0.8285,0.2962,NA,NA,0.9997,NA
NA,"K00147",0,1,29.9917,115.5851,116.319,169.208,"Gaussian",0.4808,NA,-1.651,1.8726,0.3787,-2.6269,1.8695,0.1611,2.5535,4.6237,0.219,0.2377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3245,116.319,-0.0794,0.3007,0.7916,-0.2192,0.303,0.4695,0.496,0.456,0.0299,0.0688,0.7536,0.6178,NA,NA,0.9997,NA
"Pyruvate","K00169",0,0.9518,5.1401,22.4963,21.306,48.0748,"Gaussian",0.6672,NA,0.4652,0.7607,0.5414,1.064,0.7592,0.1623,0.7384,3.0783,0.1853,-0.3146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4159,21.306,0.4268,0.3215,0.1843,0.6933,0.3256,0.0332,0.1279,0.6464,0.0402,-0.0374,0.8176,0.6193,NA,NA,0.9994,NA
"Pyruvate","K00170",0,0.9729,6.2036,23.3334,22.0671,55.0421,"Gaussian",0.7126,NA,0.5337,0.7226,0.4608,1.7566,0.7212,0.0155,0.4397,3.1893,0.2024,-0.2601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4237,22.0671,0.1474,0.3237,0.6489,0.7086,0.3288,0.0311,0.1045,0.6502,0.0517,-0.0545,0.7861,0.2834,NA,NA,0.9994,NA
"Pyruvate","K00171",0,0.9699,1.9168,26.564,24.8428,69.2114,"Gaussian",0.7051,NA,0.8976,0.9412,0.3412,1.971,0.9394,0.0369,0.2914,3.2189,0.2466,-0.5577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.412,24.8428,0.0397,0.3211,0.9016,0.5409,0.3248,0.0959,-0.0347,0.6643,0.0471,-0.073,0.7374,0.3662,NA,NA,0.9997,NA
"Pyruvate","K00172",0,0.9849,7.6986,28.4712,27.2265,64.0279,"Gaussian",0.6813,NA,0.8141,0.8693,0.3499,2.2283,0.8677,0.0108,0.5914,3.376,0.216,-0.3136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.3822,27.2265,0.4637,0.3138,0.1396,0.8614,0.3194,0.007,0.1307,0.735,0.0463,-0.0364,0.7435,0.2423,NA,NA,0.9994,NA
"Pyruvate","K00174",0,0.988,8.2398,40.9354,37.3783,129.458,"log-Gaussian",0.5892,NA,0.0025,0.0473,0.9581,-0.0327,0.0472,0.489,-0.0593,0.1453,0.0049,-0.0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4276,37.3783,0.2548,0.3257,0.434,-0.0437,0.3227,0.8922,-0.5854,0.5763,0.0289,-0.0323,0.9821,0.7965,NA,NA,0.9994,NA
"Pyruvate","K00175",0,0.9819,7.6757,36.114,32.9907,123.53,"log-Gaussian",0.5792,NA,0.0105,0.052,0.8399,-0.0171,0.0519,0.7423,-0.0477,0.1321,0.0048,-0.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4421,32.9907,0.1016,0.3301,0.7582,-0.2968,0.3268,0.3637,-0.3992,0.3482,0.0319,-0.0514,0.9383,0.9046,NA,NA,0.9994,NA
NA,"K00176",0,0.991,6.3636,42.295,36.2657,140.818,"Gaussian",0.7102,NA,-0.5289,1.9724,0.7888,-1.775,1.9684,0.3681,-3.5962,5.2758,0.2295,0.1487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4482,36.2657,0.1719,0.3302,0.6027,0.0432,0.3292,0.8956,-0.4746,0.4598,0.0237,-0.0557,0.9228,0.7513,NA,NA,0.9994,NA
NA,"K00177",0,0.988,7.1595,36.0417,29.5239,126.166,"Gaussian",0.7294,NA,-0.407,1.6206,0.8019,-0.9023,1.6174,0.5774,-2.5111,5.0772,0.2916,0.1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4891,29.5239,-0.1615,0.345,0.6397,0.2896,0.3412,0.3961,-0.2307,0.6064,0.0383,0.0132,0.9258,0.8285,NA,NA,0.9994,NA
NA,"K00179",0,1,15.5013,46.6568,43.7541,98.2939,"Gaussian",0.7266,NA,1.9236,1.2469,0.1241,1.3052,1.2444,0.2952,-0.1939,7.0774,0.3533,-0.2807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.5113,43.7541,0.5445,0.3493,0.1191,0.8328,0.3583,0.0201,0.3588,1.2952,0.0516,-0.0343,0.5651,0.7165,NA,NA,0.9994,NA
NA,"K00180",0,1,19.6254,53.2684,50.45,117.551,"Gaussian",0.7188,NA,2.2318,1.4592,0.1274,1.1019,1.4564,0.45,-0.2656,8.1549,0.3878,-0.3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4835,50.45,0.4121,0.3407,0.2265,0.7461,0.3462,0.0312,0.1635,1.2405,0.046,-0.0294,0.5723,0.7814,NA,NA,0.9994,NA
