"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","baseline_medianTPMAbd","baseline_prevalence","postFresh_medianTPMAbd","postFresh_prevalence","postPast_medianTPMAbd","postPast_prevalence","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","freshInt_ageLow_effect","freshInt_ageHigh_effect","freshInt_ageLow_se","freshInt_ageHigh_se","freshInt_ageLow_pvalue","freshInt_ageHigh_pvalue","freshInt_sexM_effect","freshInt_sexW_effect","freshInt_sexM_se","freshInt_sexW_se","freshInt_sexM_pvalue","freshInt_sexW_pvalue","freshInt_bmiLow_effect","freshInt_bmiHigh_effect","freshInt_bmiLow_se","freshInt_bmiHigh_se","freshInt_bmiLow_pvalue","freshInt_bmiHigh_pvalue","pastInt_ageLow_effect","pastInt_ageHigh_effect","pastInt_ageLow_se","pastInt_ageHigh_se","pastInt_ageLow_pvalue","pastInt_ageHigh_pvalue","pastInt_sexM_effect","pastInt_sexW_effect","pastInt_sexM_se","pastInt_sexW_se","pastInt_sexM_pvalue","pastInt_sexW_pvalue","pastInt_bmiLow_effect","pastInt_bmiHigh_effect","pastInt_bmiLow_se","pastInt_bmiHigh_se","pastInt_bmiLow_pvalue","pastInt_bmiHigh_pvalue","freshInt_pvalue_correct","pastInt_pvalue_correct","freshInt_ageLow_pvalue_correct","pastInt_ageLow_pvalue_correct","freshInt_ageHigh_pvalue_correct","pastInt_ageHigh_pvalue_correct","freshInt_sexM_pvalue_correct","pastInt_sexM_pvalue_correct","freshInt_sexW_pvalue_correct","pastInt_sexW_pvalue_correct","freshInt_bmiLow_pvalue_correct","pastInt_bmiLow_pvalue_correct","freshInt_bmiHigh_pvalue_correct","pastInt_bmiHigh_pvalue_correct"
NA,"K00303",0.0029,0.4298,0,11.2084,8.3774,72.4946,8.0099,0.4035,8.1949,0.4186,9.9791,0.4941,"Gaussian",0.7359,NA,-0.7324,0.7461,0.3272,1.9308,0.749,0.0105,0.8458,-3.1683,0.0791,-0.2151,-0.3639,-1.1768,1.0136,1.1126,0.7199,0.2912,-0.6944,-0.7632,1.1404,0.9917,0.5431,0.4422,-1.6871,0.8866,0.9386,1.2224,0.0734,0.4689,2.0512,1.7821,1.0136,1.1223,0.044,0.1135,2.4447,1.5368,1.1404,0.9986,0.033,0.125,1.7793,2.1865,0.9386,1.2354,0.0591,0.0779,0.675,0.2318,0.9351,0.713,0.7804,0.7418,0.9009,0.5437,0.8817,0.7577,0.5777,0.5601,0.8532,0.5822
NA,"K00324",0,0.2456,0.0762,7.7285,5.6189,47.1811,5.5339,0.269,5.8337,0.2209,4.9953,0.2235,"log-Gaussian",0.6773,NA,-0.0079,0.0614,0.8973,-0.1221,0.0616,0.0487,0.0295,0.0952,-0.0047,0.0611,0.0791,-0.1121,0.0829,0.091,0.3412,0.2194,-0.0072,-0.0082,0.0938,0.0816,0.9385,0.9196,-0.0863,0.1249,0.0773,0.1006,0.2652,0.2155,-0.1416,-0.0987,0.0829,0.0918,0.0891,0.2834,-0.178,-0.0792,0.0938,0.0821,0.0588,0.3358,-0.1335,-0.1029,0.0773,0.1017,0.0852,0.3127,0.9588,0.3754,0.801,0.7248,0.766,0.7792,0.9891,0.6411,0.9857,0.8561,0.7418,0.5949,0.7042,0.7685
NA,"K00325",0,0.2368,0.1832,7.8782,5.8963,48.7989,5.7543,0.2339,6.2644,0.2326,5.1333,0.2471,"log-Gaussian",0.6765,NA,-0.0079,0.0591,0.8933,-0.1402,0.0593,0.0189,0.0322,0.0984,-0.0039,0.0637,0.054,-0.0819,0.08,0.0879,0.5007,0.3521,-0.0194,0.0008,0.0903,0.0786,0.8305,0.9914,-0.0667,0.0917,0.0745,0.0971,0.3717,0.3457,-0.1641,-0.1112,0.08,0.0886,0.0413,0.2105,-0.1841,-0.1065,0.0903,0.0791,0.0425,0.1794,-0.1448,-0.1326,0.0745,0.0981,0.0531,0.1776,0.9567,0.2744,0.8579,0.713,0.8057,0.766,0.9663,0.5816,0.9984,0.8034,0.8002,0.5442,0.7854,0.6775
NA,"K00330",0.0029,0.5673,0,15.4414,11.2342,78.1199,10.9994,0.5497,11.8246,0.5698,12.2947,0.6,"log-Gaussian",0.5685,NA,0.0453,0.0796,0.57,-0.0351,0.0799,0.6611,-0.0556,-0.0315,0.0007,-0.0305,-0.0411,0.1492,0.1078,0.1184,0.7033,0.2087,0.1372,-0.0246,0.1212,0.1054,0.2588,0.8157,0.1508,-0.1334,0.1,0.1303,0.1329,0.3067,-0.0945,0.0387,0.1078,0.1194,0.3814,0.7463,0.0877,-0.1292,0.1212,0.1062,0.4699,0.2245,-0.0386,-0.0282,0.1,0.1317,0.6996,0.8304,0.802,0.8514,0.931,0.8125,0.766,0.9426,0.8373,0.886,0.9623,0.8271,0.633,0.9363,0.7677,0.967
NA,"K00331",0,0.5263,0.3773,14.0709,10.7236,104.872,9.9875,0.4912,11.497,0.5581,11.6666,0.5647,"Gaussian",0.5303,NA,0.73,1.2571,0.5619,-1.0424,1.262,0.4096,-1.7957,0.5239,0.0523,-0.5015,0.0492,1.5569,1.7057,1.8726,0.977,0.4065,2.1402,-0.3405,1.917,1.6675,0.2652,0.8383,2.9281,-2.996,1.5739,2.0497,0.0639,0.145,-2.0938,0.2515,1.7057,1.889,0.2207,0.8942,0.4266,-2.1688,1.917,1.679,0.8241,0.1976,-0.6649,-1.6826,1.5739,2.0716,0.673,0.4174,0.797,0.7226,0.9968,0.766,0.8212,0.9808,0.8373,0.9643,0.968,0.8112,0.5634,0.9285,0.6516,0.8241
NA,"K00334",0,1,18.9007,81.4928,80.5464,167.169,78.9642,1,80.5889,1,81.3035,1,"Gaussian",0.6256,NA,0.2059,1.9295,0.9151,0.1028,1.9371,0.9577,0.4674,0.4001,0.5179,-0.0172,0.7319,-0.4545,2.6144,2.87,0.7797,0.8743,0.6852,-0.145,2.9374,2.555,0.8157,0.9548,-0.3265,1.1121,2.4406,3.1786,0.8937,0.7267,2.3612,-2.6631,2.6144,2.895,0.3673,0.3585,-2.9098,2.4139,2.9374,2.5727,0.3228,0.3489,-0.591,1.3035,2.4406,3.2125,0.8089,0.6853,0.9668,0.9844,0.9506,0.8087,0.9775,0.8068,0.9623,0.8536,0.991,0.8578,0.9797,0.9638,0.9455,0.9339
NA,"K00335",0,1,14.4927,56.8484,55.4792,138.6,54.9686,1,55.3087,1,56.6147,1,"Gaussian",0.5761,NA,0.1811,1.4563,0.9011,-0.2341,1.462,0.8729,0.7118,-1.1282,0.2882,-0.1075,0.7342,-0.4969,1.9768,2.1701,0.7106,0.8191,1.1479,-0.5444,2.221,1.9319,0.6057,0.7783,-0.8566,1.9456,1.838,2.3937,0.6415,0.417,0.9154,-1.6441,1.9768,2.1891,0.6437,0.4533,-1.5482,0.7743,2.221,1.9453,0.4863,0.6909,-1.3374,1.674,1.838,2.4193,0.4675,0.4896,0.9599,0.9477,0.9329,0.9086,0.9611,0.8426,0.9132,0.89,0.9543,0.9355,0.9194,0.8527,0.8239,0.863
NA,"K00337",0,0.1725,0.0537,6.2576,3.936,69.1047,3.9829,0.1813,3.9739,0.1512,3.7373,0.1765,"log-Gaussian",0.6648,NA,0.048,0.0703,0.495,-0.0309,0.0706,0.6624,-0.0281,0.2778,0.0035,-0.0266,-0.0126,0.1208,0.0954,0.1047,0.8951,0.2495,0.0182,0.0704,0.1074,0.0934,0.8655,0.4517,0.1149,-0.0653,0.0887,0.1155,0.1963,0.5724,-0.0355,-0.0249,0.0954,0.1056,0.7102,0.8141,0.0126,-0.0642,0.1074,0.0941,0.9069,0.4957,-0.0235,-0.0431,0.0887,0.1167,0.7911,0.7122,0.7653,0.8523,0.9808,0.9329,0.7713,0.9604,0.9721,0.9833,0.8822,0.8911,0.6926,0.9621,0.895,0.94
NA,"K00338",0.0029,0.5263,0,13.9996,10.4738,101.495,9.9732,0.4912,10.6933,0.5698,11.6403,0.5529,"log-Gaussian",0.5502,NA,0.0407,0.0765,0.5956,-0.03,0.0768,0.6963,-0.055,0.0004,0.0026,-0.0421,-0.0176,0.1109,0.1038,0.114,0.8659,0.3313,0.117,-0.0173,0.1168,0.1016,0.3171,0.8649,0.1287,-0.1086,0.0963,0.1255,0.1826,0.3875,-0.0838,0.0364,0.1038,0.115,0.4201,0.7515,0.0407,-0.0842,0.1168,0.1023,0.7278,0.411,-0.023,-0.0416,0.0963,0.1268,0.8117,0.743,0.8169,0.8695,0.9749,0.8265,0.7951,0.9426,0.8511,0.9435,0.9721,0.8775,0.6807,0.9642,0.81,0.9523
NA,"K00339",0.0029,0.117,0,5.2548,2.989,71.0541,3.4379,0.1111,2.9565,0.1395,2.6998,0.1059,"Gaussian",0.6866,NA,0.6349,0.6459,0.3265,-0.3485,0.6484,0.5914,-0.2668,1.2318,0.1069,-0.2991,0.5117,0.7836,0.8779,0.9637,0.5605,0.4169,0.9419,0.4023,0.9876,0.8589,0.3411,0.6399,1.3738,-0.6171,0.8132,1.059,0.0923,0.5606,-0.4444,-0.2302,0.8779,0.9721,0.6132,0.813,-0.1757,-0.481,0.9876,0.8649,0.859,0.5786,-0.3666,-0.3117,0.8132,1.0704,0.6525,0.7711,0.675,0.8142,0.8782,0.8963,0.8256,0.9604,0.8562,0.9711,0.9264,0.9093,0.6015,0.9227,0.8894,0.9571
