"SCFA","gene","relFreq_zeroTPM","relFreq_min10TPM","min_tpmAbd","mean_tpmAbd","median_tpmAbd","max_tpmAbd","baseline_medianTPMAbd","baseline_prevalence","postFresh_medianTPMAbd","postFresh_prevalence","postPast_medianTPMAbd","postPast_prevalence","model","model_deviance","model_meanAbsResid","freshInt_effect","freshInt_se","freshInt_pvalue","pastInt_effect","pastInt_se","pastInt_pvalue","phaseEffect","genderEffect","ageEffect","bmiEffect","freshInt_ageLow_effect","freshInt_ageHigh_effect","freshInt_ageLow_se","freshInt_ageHigh_se","freshInt_ageLow_pvalue","freshInt_ageHigh_pvalue","freshInt_sexM_effect","freshInt_sexW_effect","freshInt_sexM_se","freshInt_sexW_se","freshInt_sexM_pvalue","freshInt_sexW_pvalue","freshInt_bmiLow_effect","freshInt_bmiHigh_effect","freshInt_bmiLow_se","freshInt_bmiHigh_se","freshInt_bmiLow_pvalue","freshInt_bmiHigh_pvalue","pastInt_ageLow_effect","pastInt_ageHigh_effect","pastInt_ageLow_se","pastInt_ageHigh_se","pastInt_ageLow_pvalue","pastInt_ageHigh_pvalue","pastInt_sexM_effect","pastInt_sexW_effect","pastInt_sexM_se","pastInt_sexW_se","pastInt_sexM_pvalue","pastInt_sexW_pvalue","pastInt_bmiLow_effect","pastInt_bmiHigh_effect","pastInt_bmiLow_se","pastInt_bmiHigh_se","pastInt_bmiLow_pvalue","pastInt_bmiHigh_pvalue","freshInt_pvalue_correct","pastInt_pvalue_correct","freshInt_ageLow_pvalue_correct","pastInt_ageLow_pvalue_correct","freshInt_ageHigh_pvalue_correct","pastInt_ageHigh_pvalue_correct","freshInt_sexM_pvalue_correct","pastInt_sexM_pvalue_correct","freshInt_sexW_pvalue_correct","pastInt_sexW_pvalue_correct","freshInt_bmiLow_pvalue_correct","pastInt_bmiLow_pvalue_correct","freshInt_bmiHigh_pvalue_correct","pastInt_bmiHigh_pvalue_correct"
NA,"K00003",0,1,53.2414,194.2078,197.5625,248.466,198.607,1,196.048,1,194.985,1,"Gaussian",0.4833,NA,-2.6504,2.9109,0.3633,-3.7757,2.9223,0.1974,4.2762,-3.9392,0.0715,1.2181,-0.3362,-5.4444,3.9499,4.3365,0.9322,0.2104,-4.6378,-1.1353,4.4394,3.862,0.2971,0.769,-7.1213,4.9448,3.6536,4.7583,0.0523,0.2996,-2.0794,-5.8683,3.9499,4.3744,0.599,0.1809,-7.6452,-0.8076,4.4394,3.8888,0.0862,0.8356,-5.839,-0.2335,3.6536,4.8091,0.1111,0.9613,0.6955,0.5868,0.9891,0.8941,0.766,0.7617,0.8427,0.6975,0.9531,0.968,0.5434,0.6151,0.764,0.9917
NA,"K00005",0,0.9942,6.2805,34.03,31.6354,81.7872,31.876,1,31.7015,1,31.0494,0.9765,"Gaussian",0.7267,NA,-0.0439,1.0534,0.9668,-0.5992,1.0576,0.5715,1.4246,-2.7774,-0.1163,1.0979,0.2574,-0.4146,1.4302,1.5698,0.8573,0.7919,-0.438,0.2641,1.5951,1.3872,0.7838,0.8492,-1.0012,1.5823,1.3291,1.7309,0.4519,0.3615,0.1993,-1.5789,1.4302,1.5835,0.8893,0.3197,-3.2757,1.4534,1.5951,1.3968,0.041,0.2991,-1.2116,0.4565,1.3291,1.7494,0.3628,0.7943,0.9869,0.8033,0.9721,0.9798,0.9548,0.7909,0.955,0.5777,0.9693,0.8429,0.8442,0.7947,0.7941,0.9621
NA,"K00008",0,0.7018,2.2753,15.1554,13.2774,73.5507,13.415,0.6842,13.5326,0.7442,13.1593,0.6941,"Gaussian",0.6964,NA,0.5104,0.708,0.4716,0.1041,0.7108,0.8836,0.4277,-1.7522,-0.0495,0.2024,0.8551,0.0871,0.9601,1.0538,0.3739,0.9342,1.599,-0.3087,1.0737,0.9338,0.1376,0.7412,-0.6819,2.5325,0.8869,1.155,0.4427,0.0292,0.8358,-0.7928,0.9601,1.0631,0.3848,0.4565,-0.7072,0.7265,1.0737,0.9402,0.5107,0.4404,-0.1889,0.6042,0.8869,1.1674,0.8315,0.6052,0.7542,0.9539,0.8105,0.8125,0.9899,0.8437,0.7734,0.8918,0.9469,0.8817,0.8403,0.9672,0.4652,0.9057
NA,"K00009",0,0.9766,5.2603,31.6988,28.6944,115.481,27.5855,0.9708,28.3442,1,31.7631,0.9647,"Gaussian",0.6133,NA,0.8711,1.4752,0.5553,5.4678,1.481,0.0003,0.6309,-5.3788,-0.1301,-0.597,1.0875,0.5791,1.9893,2.1838,0.5851,0.7911,0.969,0.7975,2.2563,1.9625,0.6679,0.6848,2.6018,-2.0721,1.8531,2.4133,0.1615,0.3913,8.1256,2.2125,1.9893,2.2028,0.0001,0.3161,5.3247,5.5778,2.2563,1.9761,0.019,0.0051,7.3021,2.2959,1.8531,2.4391,0.0001,0.3474,0.7934,0.0552,0.8873,0.093,0.9546,0.7909,0.9324,0.4766,0.9344,0.4072,0.6656,0.0543,0.81,0.786
NA,"K00010",0,0.9883,3.8333,34.7802,31.5682,111.908,31.6634,0.9825,30.0142,0.9884,33.0006,1,"log-Gaussian",0.5907,NA,-0.0595,0.0423,0.1608,0.0093,0.0425,0.8264,0.02,-0.0238,-0.0019,-0.007,-0.0395,-0.0844,0.0574,0.063,0.4921,0.1815,-0.0826,-0.0421,0.0647,0.0563,0.2032,0.4552,-0.079,-0.0266,0.0535,0.0697,0.1415,0.7031,0.059,-0.0515,0.0574,0.0635,0.3043,0.4181,-0.0049,0.0203,0.0647,0.0567,0.9394,0.721,0.0049,0.0169,0.0535,0.0705,0.9272,0.8109,0.5545,0.9283,0.8563,0.787,0.7619,0.8259,0.8127,0.9891,0.8829,0.9417,0.6483,0.9871,0.9367,0.9642
NA,"K00012",0,1,19.646,102.8217,102.82,228.416,102.402,1,103.8945,1,103.006,1,"Gaussian",0.6686,NA,-1.6873,2.0419,0.4094,-4.864,2.05,0.0184,-2.4352,0.1853,-0.06,0.4251,-4.0502,1.1504,2.7661,3.0363,0.1443,0.7051,2.2359,-4.6507,3.1051,2.7005,0.4721,0.0862,1.1258,-6.4569,2.5673,3.3434,0.6614,0.0545,-4.8901,-4.8215,2.7661,3.0628,0.0782,0.1166,-4.527,-5.1228,3.1051,2.7192,0.1461,0.0607,-4.3426,-5.7489,2.5673,3.3792,0.0919,0.0901,0.7226,0.2744,0.7486,0.7231,0.932,0.7451,0.8861,0.7813,0.6975,0.6432,0.9245,0.6015,0.545,0.6015
NA,"K00013",0,1,35.6607,122.9215,124.0125,161.198,124.078,1,124.615,1,123.419,1,"Gaussian",0.5843,NA,-0.7404,1.5787,0.6394,-3.7897,1.5849,0.0175,1.3398,0.2327,-0.1514,0.6704,0.837,-2.627,2.1383,2.3474,0.6958,0.2641,-0.4507,-0.9571,2.4139,2.0997,0.852,0.6489,-1.2255,0.0846,1.9972,2.6011,0.54,0.9741,-4.3837,-3.0697,2.1383,2.3679,0.0413,0.1959,-4.2923,-3.4044,2.4139,2.1142,0.0765,0.1085,-3.9472,-3.522,1.9972,2.6289,0.0491,0.1815,0.8376,0.2719,0.9284,0.713,0.7713,0.766,0.97,0.6806,0.9278,0.7369,0.8846,0.53,0.9957,0.6797
NA,"K00014",0,1,42.7522,193.4575,195.409,251.827,194.939,1,197.439,1,194.682,1,"Gaussian",0.4636,NA,-1.3718,2.8138,0.6263,-4.7883,2.8249,0.0912,2.2318,-2.3766,0.1118,1.1359,-0.1931,-2.7938,3.8235,4.1978,0.9598,0.5062,-0.7632,-1.8183,4.2864,3.729,0.8588,0.6262,-5.07,4.9127,3.5341,4.6027,0.1525,0.2867,-4.3238,-5.3613,3.8235,4.2344,0.2591,0.2065,-8.8723,-1.6536,4.2864,3.7548,0.0394,0.66,-7.9246,0.6298,3.5341,4.6518,0.0257,0.8924,0.8304,0.4682,0.9955,0.7713,0.8609,0.766,0.9711,0.5716,0.92,0.9291,0.6559,0.4571,0.7576,0.9797
NA,"K00016",0,1,21.5485,137.5494,137.6875,232.58,137.571,1,138.482,1,138.226,1,"Gaussian",0.5699,NA,-0.5522,2.7404,0.8405,0.7349,2.7512,0.7896,4.8049,-2.8894,-0.0158,1.4852,1.7785,-3.3558,3.7188,4.0824,0.6329,0.4118,-3.147,1.4217,4.1774,3.6336,0.4519,0.6959,-4.3378,5.8705,3.445,4.4866,0.2091,0.1918,1.4431,-0.1465,3.7188,4.1181,0.6983,0.9717,-3.0723,3.6547,4.1774,3.6588,0.4627,0.3188,-0.1734,2.2815,3.445,4.5345,0.9599,0.6153,0.9332,0.9113,0.9041,0.9298,0.824,0.9966,0.8823,0.8857,0.9357,0.8512,0.6998,0.9917,0.6889,0.9094
NA,"K00018",0,1,26.9845,90.5372,90.0179,134.474,90.6949,1,90.132,1,85.1625,1,"Gaussian",0.5519,NA,-1.7045,1.6581,0.3049,-3.2887,1.6646,0.0492,0.7359,3.6026,0.0377,0.262,-1.5058,-1.9265,2.2492,2.4691,0.5038,0.4359,-2.1061,-1.4005,2.5358,2.2057,0.407,0.526,-2.137,-0.9622,2.093,2.7259,0.3082,0.7244,-4.7412,-1.5102,2.2492,2.4907,0.036,0.5448,-3.513,-3.1166,2.5358,2.221,0.1671,0.1617,-4.7193,-0.8097,2.093,2.755,0.025,0.769,0.6627,0.3754,0.859,0.7064,0.8344,0.8751,0.8767,0.796,0.8958,0.7915,0.7678,0.4534,0.9447,0.9571
NA,"K00020",0,0.9854,4.0023,25.286,23.8846,71.0569,24.9625,1,22.6221,0.9767,23.1333,0.9647,"log-Gaussian",0.6701,NA,-0.0502,0.0316,0.1133,-0.1109,0.0317,0.0005,0.0157,-0.0858,0.0021,0.0312,-0.0425,-0.0597,0.0428,0.047,0.3215,0.2055,-0.04,-0.0578,0.0483,0.042,0.4078,0.1695,-0.0838,0.0071,0.0397,0.0517,0.0356,0.8913,-0.0817,-0.1466,0.0428,0.0474,0.0575,0.0022,-0.0996,-0.1195,0.0483,0.0423,0.04,0.0051,-0.1495,-0.0439,0.0397,0.0522,0.0002,0.401,0.5,0.0805,0.7915,0.7149,0.766,0.3778,0.8767,0.5716,0.7964,0.4072,0.4844,0.0705,0.9795,0.8158
NA,"K00024",0,0.3509,0.4295,10.362,7.7405,91.812,7.8738,0.3801,7.9882,0.314,6.9974,0.3294,"log-Gaussian",0.6544,NA,-0.0166,0.0616,0.7883,-0.0501,0.0619,0.4187,0.025,0.1452,0.0032,-0.0424,-0.0793,0.0592,0.0835,0.0917,0.3432,0.5193,0.0052,-0.0331,0.0942,0.0819,0.9563,0.6868,0.0503,-0.1296,0.0772,0.1006,0.5154,0.1987,-0.0845,-0.0077,0.0835,0.0925,0.3126,0.9341,-0.0218,-0.0718,0.0942,0.0825,0.817,0.3849,-0.0998,0.0366,0.0772,0.1017,0.1975,0.719,0.9107,0.7285,0.8022,0.7909,0.8659,0.9899,0.9916,0.9627,0.9349,0.873,0.8753,0.6933,0.6934,0.9431
"Pyruvate","K00027",0,1,29.9924,126.5478,129.0735,155.36,129.244,1,127.342,1,130.628,1,"Gaussian",0.4778,NA,-2.011,1.738,0.2483,-0.3444,1.7448,0.8437,1.564,-0.1868,0.1016,0.1758,-1.8423,-2.2154,2.3626,2.5938,0.4362,0.3938,-2.1384,-1.9092,2.655,2.3097,0.4213,0.4092,-2.9628,-0.3786,2.1953,2.8591,0.1782,0.8948,-0.2028,-0.5183,2.3626,2.6165,0.9316,0.8431,-1.8337,0.7979,2.655,2.3256,0.4903,0.7318,-1.4818,1.6097,2.1953,2.8896,0.5002,0.5779,0.6352,0.934,0.8344,0.989,0.816,0.9685,0.8799,0.8911,0.8767,0.9453,0.6777,0.8691,0.9797,0.8964
NA,"K00029",0.0029,0.1404,0,5.2178,2.6231,39.5204,2.665,0.1404,2.846,0.1163,2.2512,0.1647,"log-Gaussian",0.779,NA,-0.0408,0.057,0.4748,-0.0243,0.0572,0.6716,0.0815,-0.057,-0.0091,0.0123,-0.0643,-0.0131,0.0774,0.0849,0.4066,0.8776,-0.0399,-0.0419,0.0869,0.0756,0.6467,0.5802,-0.0055,-0.1008,0.072,0.0938,0.9396,0.2838,0.009,-0.0648,0.0774,0.0857,0.9078,0.4501,0.0578,-0.0872,0.0869,0.0761,0.5068,0.2529,-0.0075,-0.0532,0.072,0.0948,0.9173,0.5752,0.7558,0.8565,0.8212,0.9855,0.9777,0.8419,0.9271,0.8918,0.9093,0.8373,0.9885,0.9848,0.7544,0.8956
NA,"K00030",0,0.9152,1.0457,21.1786,20.1527,56.5064,20.9401,0.9415,19.3735,0.907,18.7931,0.8706,"log-Gaussian",0.6722,NA,-0.0723,0.0377,0.056,-0.1373,0.0378,0.0003,0.038,-0.0419,-0.0018,0.0306,-0.064,-0.0822,0.0512,0.0562,0.2123,0.1449,-0.1019,-0.05,0.0576,0.0501,0.0781,0.3193,-0.1008,-0.0239,0.0475,0.0619,0.0349,0.6999,-0.1367,-0.1382,0.0512,0.0567,0.0081,0.0155,-0.1469,-0.1299,0.0576,0.0504,0.0113,0.0105,-0.1685,-0.0833,0.0475,0.0626,0.0005,0.1843,0.3904,0.0577,0.766,0.6399,0.7486,0.6698,0.6835,0.4476,0.8512,0.4425,0.4817,0.1038,0.9363,0.6828
NA,"K00031",0,1,36.9328,110.8408,112.2305,145.319,112.114,1,110.9345,1,114.827,1,"Gaussian",0.523,NA,-0.9985,1.4157,0.4813,-0.6859,1.4213,0.6298,0.2606,0.9345,0.0524,-0.4546,0.484,-2.7681,1.914,2.1012,0.8005,0.1888,-0.4792,-1.3897,2.1645,1.8829,0.8249,0.4611,-1.5064,-0.1348,1.7908,2.3323,0.401,0.954,-1.6776,0.5233,1.914,2.1195,0.3815,0.8052,-0.9403,-0.4906,2.1645,1.8959,0.6643,0.796,-0.9759,-0.1874,1.7908,2.3572,0.5862,0.9367,0.76,0.8324,0.9568,0.8125,0.766,0.9588,0.9643,0.9298,0.8849,0.9577,0.8158,0.8982,0.9909,0.9885
NA,"K00033",0,0.9649,4.2149,31.8298,26.4391,103.058,27.7026,0.9591,25.8441,0.9651,25.5932,0.9765,"log-Gaussian",0.6058,NA,-0.0231,0.0494,0.6408,-0.0695,0.0496,0.162,0.0036,0.0656,-0.0049,0.0314,0.0298,-0.0865,0.0669,0.0734,0.6569,0.2399,-0.0299,-0.0178,0.0754,0.0656,0.6921,0.7867,-0.0145,-0.0377,0.0623,0.0812,0.8158,0.6424,-0.0622,-0.0787,0.0669,0.0741,0.3535,0.289,-0.104,-0.043,0.0754,0.0661,0.169,0.5161,-0.0299,-0.1382,0.0623,0.082,0.6323,0.0932,0.8381,0.5553,0.9136,0.8057,0.7687,0.7804,0.9357,0.7964,0.9555,0.894,0.9642,0.9144,0.9198,0.6016
NA,"K00036",0,0.576,1.3959,14.1641,11.5722,71.2488,12.3944,0.6023,12.2708,0.5698,10.7019,0.5294,"log-Gaussian",0.7097,NA,0.041,0.0531,0.4408,-0.1467,0.0533,0.0063,0.0159,0.0589,-0.0101,0.0578,0.0727,0.0033,0.0719,0.079,0.313,0.9672,0.056,0.0296,0.0811,0.0706,0.4906,0.6753,0.0304,0.0588,0.0671,0.0874,0.651,0.5015,-0.1785,-0.1079,0.0719,0.0797,0.0137,0.1767,-0.1546,-0.1406,0.0811,0.0711,0.0579,0.0488,-0.1446,-0.1504,0.0671,0.0884,0.0321,0.0899,0.7429,0.1947,0.7909,0.6698,0.9964,0.7573,0.8911,0.64,0.9329,0.6016,0.9224,0.4694,0.8704,0.6015
NA,"K00041",0,1,12.1726,42.0905,41.6491,88.454,41.5217,1,41.6938,1,41.7789,1,"Gaussian",0.6106,NA,-1.1626,1.0805,0.2829,-0.134,1.0847,0.9018,-1.3131,1.1919,-0.0904,0.3325,-1.828,-0.3605,1.4675,1.6109,0.214,0.8231,-0.9924,-1.2984,1.6441,1.43,0.5466,0.3647,-0.2591,-2.6903,1.3614,1.7731,0.8492,0.1304,-0.3855,0.1768,1.4675,1.625,0.793,0.9134,1.7795,-1.6016,1.6441,1.4399,0.2801,0.267,-0.58,0.646,1.3614,1.792,0.6704,0.7188,0.6511,0.9599,0.766,0.9551,0.9622,0.9863,0.9015,0.8396,0.863,0.8375,0.971,0.9276,0.6312,0.9431
NA,"K00042",0,0.7193,1.7568,15.6066,13.7437,76.5418,14.0718,0.7193,13.0384,0.7093,13.7417,0.7294,"log-Gaussian",0.7145,NA,-0.0668,0.0456,0.1444,-0.0272,0.0458,0.5529,0.0415,0.0065,0.0043,0.0279,-0.0541,-0.0826,0.0619,0.068,0.3832,0.2255,-0.0807,-0.0565,0.0696,0.0605,0.247,0.351,-0.0547,-0.0872,0.0577,0.0751,0.3441,0.2467,0.0132,-0.0768,0.0619,0.0686,0.831,0.2638,0.0313,-0.0721,0.0696,0.0609,0.6535,0.238,-0.047,0.0072,0.0577,0.0759,0.4159,0.9247,0.5393,0.7918,0.8125,0.9644,0.766,0.7713,0.8373,0.9284,0.8581,0.8372,0.7837,0.8228,0.7256,0.9871
NA,"K00046",0,0.9912,5.3724,43.7661,43.1873,85.3373,43.3287,1,43.3179,1,41.7546,0.9647,"log-Gaussian",0.5796,NA,-0.036,0.0377,0.3399,-0.0795,0.0378,0.0366,-0.013,0.0378,-0.0042,0.0045,-0.0691,0.0042,0.0511,0.0561,0.1772,0.941,-0.0205,-0.0479,0.0576,0.0501,0.7226,0.3402,-0.0089,-0.0819,0.0475,0.0619,0.8519,0.1865,-0.1205,-0.0292,0.0511,0.0565,0.019,0.6061,-0.0533,-0.0996,0.0576,0.0505,0.3553,0.0495,-0.0991,-0.0454,0.0475,0.0625,0.038,0.4689,0.6825,0.3487,0.7576,0.6846,0.9919,0.8953,0.9425,0.862,0.8561,0.6035,0.9717,0.4906,0.6849,0.8532
NA,"K00048",0,1,26.0795,98.8891,99.9163,144.584,100.49,1,98.5152,1,97.0419,1,"Gaussian",0.6868,NA,-2.1677,1.6437,0.1884,-1.5484,1.6502,0.3489,2.3067,-3.5105,-0.2422,0.996,-0.7752,-3.8261,2.2252,2.4425,0.7278,0.1184,-2.0717,-2.2448,2.512,2.1847,0.4103,0.3051,-3.34,-0.1751,2.0762,2.7039,0.1089,0.9484,-2.6271,-0.2344,2.2252,2.4638,0.2388,0.9243,-0.2614,-2.5357,2.512,2.1998,0.9172,0.2501,-2.144,-0.5257,2.0762,2.7328,0.3027,0.8476,0.5817,0.6875,0.9372,0.7679,0.7467,0.9877,0.8769,0.9854,0.8464,0.8373,0.6144,0.7666,0.9896,0.9705
NA,"K00052",0,1,36.2566,130.6909,133.4275,178.363,133.413,1,133.0925,1,134.051,1,"Gaussian",0.6247,NA,-0.9955,1.6111,0.5372,-2.9878,1.6175,0.0658,1.1655,0.3833,-0.1189,0.4645,-0.1756,-1.9649,2.1843,2.3977,0.936,0.4132,-1.6706,-0.4835,2.4635,2.1427,0.4983,0.8217,-1.5987,0.0284,2.038,2.6541,0.4335,0.9915,-4.1722,-1.5421,2.1843,2.4186,0.0572,0.5243,-3.564,-2.546,2.4635,2.1575,0.1492,0.239,-3.1282,-2.7496,2.038,2.6825,0.126,0.3063,0.7843,0.4119,0.9906,0.7149,0.824,0.868,0.8911,0.7814,0.964,0.8373,0.8353,0.6261,0.9993,0.7675
NA,"K00053",0,1,52.7852,165.7549,163.86,303.566,164.173,1,164.9855,1,161.632,1,"Gaussian",0.6049,NA,-0.1774,2.7925,0.9494,-4.7907,2.8035,0.0886,1.719,0.9963,-0.3431,1.1011,3.6656,-4.7735,3.7704,4.1389,0.3318,0.2498,-0.5649,0.1159,4.2712,3.715,0.8949,0.9751,-3.5423,5.5316,3.5163,4.5794,0.3147,0.2281,-6.1019,-3.205,3.7704,4.1751,0.1068,0.4434,-5.0066,-4.6249,4.2712,3.7407,0.2422,0.2174,-5.8272,-3.017,3.5163,4.6283,0.0987,0.5151,0.9804,0.4636,0.7951,0.7329,0.7713,0.838,0.9801,0.8373,0.9943,0.8199,0.7702,0.6056,0.7105,0.8753
NA,"K00057",0,1,42.144,144.4303,144.9165,199.748,144.864,1,147.811,1,143.625,1,"Gaussian",0.4904,NA,-0.8717,1.8664,0.6408,-5.2412,1.8737,0.0055,1.1656,4.9992,0.1253,0.6872,0.5681,-2.6026,2.5334,2.7813,0.8227,0.3502,-1.605,-0.307,2.8421,2.4724,0.5727,0.9013,-1.7889,0.6818,2.3594,3.0729,0.449,0.8246,-5.1345,-5.3776,2.5334,2.8056,0.0437,0.0563,-8.3949,-2.8215,2.8421,2.4895,0.0034,0.258,-5.0104,-5.6493,2.3594,3.1057,0.0346,0.07,0.8381,0.1817,0.9621,0.713,0.8057,0.7149,0.909,0.4004,0.9815,0.8373,0.8423,0.4817,0.9654,0.5723
NA,"K00058",0,1,27.3175,107.5723,107.297,263.468,107.405,1,109.808,1,101.337,1,"Gaussian",0.6169,NA,-2.1989,2.1215,0.3009,-4.3106,2.1298,0.044,4.3355,0.3352,0.1587,1.0351,-1.3815,-3.1595,2.8763,3.1574,0.6314,0.3179,-1.7786,-2.5089,3.2399,2.818,0.5835,0.3741,-3.5912,0.1734,2.6781,3.4878,0.1811,0.9604,-6.0326,-2.2059,2.8763,3.185,0.0369,0.4892,-6.1531,-2.8979,3.2399,2.8375,0.0586,0.3081,-5.8783,-1.6034,2.6781,3.5251,0.029,0.6496,0.6606,0.3655,0.9028,0.7064,0.7909,0.8544,0.9093,0.6409,0.8661,0.8482,0.6797,0.4652,0.9917,0.9215
"Acetyl-CoA","K00059",0,1,60.7145,281.722,280.9295,456.322,282.675,1,280.483,1,278.069,1,"Gaussian",0.4582,NA,-4.8287,3.7787,0.2024,-9.4699,3.7936,0.0131,3.4628,5.7788,0.0767,1.2504,-1.1219,-9.2796,5.123,5.6245,0.8268,0.1001,-9.5274,-1.2628,5.7596,5.0107,0.0992,0.8012,-7.8774,0.3616,4.7632,6.2035,0.0993,0.9536,-9.7399,-9.1527,5.123,5.6736,0.0583,0.1078,-13.9947,-6.0004,5.7596,5.0453,0.0157,0.2353,-13.0513,-3.2786,4.7632,6.2697,0.0065,0.6014,0.5952,0.2473,0.9628,0.7162,0.7322,0.7366,0.7217,0.4557,0.959,0.8369,0.606,0.3504,0.9909,0.9044
NA,"K00060",0,0.3041,1.5654,10.1614,7.2211,80.257,7.8221,0.3333,7.1744,0.3023,6.6839,0.2471,"log-Gaussian",0.7406,NA,-0.0309,0.0444,0.4868,-0.1271,0.0445,0.0047,0.0305,0.1965,0.0149,0.0066,-0.0369,-0.0237,0.0603,0.0662,0.5408,0.7204,-0.0446,-0.0204,0.0678,0.0589,0.5111,0.7298,-0.0141,-0.0591,0.0559,0.0729,0.801,0.4179,-0.1227,-0.1324,0.0603,0.0668,0.0428,0.0485,-0.1657,-0.0975,0.0678,0.0594,0.0152,0.1017,-0.1587,-0.072,0.0559,0.0736,0.0049,0.329,0.7624,0.173,0.8746,0.713,0.9351,0.7149,0.8918,0.4525,0.9444,0.7241,0.9627,0.3266,0.8245,0.7761
NA,"K00065",0.0029,0.5702,0,12.1116,10.8698,45.8659,10.7451,0.5673,11.329,0.5814,11.7288,0.5647,"Gaussian",0.6322,NA,0.1355,0.563,0.81,0.1898,0.5653,0.7373,0.8135,-0.2856,0.0595,0.298,-0.1643,0.4933,0.7645,0.8392,0.83,0.5572,0.3332,-0.0152,0.8606,0.7485,0.6989,0.9838,0.0513,0.2809,0.7115,0.9266,0.9426,0.762,0.3295,0.0206,0.7645,0.8465,0.6668,0.9806,0.5563,-0.0913,0.8606,0.7537,0.5186,0.9037,-0.1837,0.837,0.7115,0.9365,0.7965,0.3723,0.9213,0.8858,0.9641,0.9177,0.8782,0.997,0.936,0.894,0.9967,0.9819,0.9895,0.9621,0.9571,0.8008
NA,"K00067",0,1,50.698,172.0465,175.0955,246.132,177.209,1,173.851,1,171.7,1,"Gaussian",0.6433,NA,-2.4282,2.4707,0.3266,-5.6402,2.4804,0.0238,0.547,-12.2822,0.0649,-0.0305,-5.1485,0.8469,3.3495,3.6768,0.1255,0.818,-2.7008,-2.2173,3.7773,3.2853,0.4752,0.5003,-2.9334,-1.5504,3.1078,4.0474,0.3461,0.702,-6.4668,-4.6145,3.3495,3.7089,0.0546,0.2145,-6.9921,-4.6034,3.7773,3.3081,0.0653,0.1652,-8.8707,-0.0392,3.1078,4.0907,0.0047,0.9924,0.675,0.2995,0.7474,0.7149,0.961,0.766,0.8869,0.6559,0.8911,0.7947,0.7854,0.3228,0.9363,0.9993
NA,"K00068",0,0.8626,4.3246,19.4311,17.562,64.9188,16.5446,0.8363,17.5824,0.8721,20.1357,0.9059,"log-Gaussian",0.6073,NA,0.0333,0.0435,0.4453,0.1466,0.0437,0.0009,0.0449,-0.0876,-0.0012,-0.007,0.0479,0.0146,0.0586,0.0644,0.4148,0.8204,0.0583,0.0145,0.0664,0.0577,0.3805,0.8021,0.025,0.0473,0.055,0.0717,0.6505,0.5102,0.2305,0.0437,0.0586,0.0649,0.0001,0.5014,0.1088,0.1755,0.0664,0.0581,0.1023,0.0028,0.1582,0.1262,0.055,0.0724,0.0044,0.0826,0.7443,0.0888,0.8248,0.1195,0.9612,0.8581,0.87,0.7252,0.9591,0.4004,0.9219,0.3202,0.8734,0.5904
NA,"K00074",0,1,14.5864,46.0729,45.0632,73.2846,44.8956,1,45.1107,1,45.5368,1,"Gaussian",0.6165,NA,-0.7495,1.0432,0.4731,1.045,1.0473,0.3192,2.0043,-0.999,0.1354,0.1936,-0.4044,-1.1644,1.4178,1.5563,0.7757,0.455,-1.7558,0.0106,1.593,1.3856,0.2714,0.9939,-1.1559,-0.0594,1.3195,1.7185,0.3818,0.9724,1.0069,1.0912,1.4178,1.5699,0.4782,0.4876,1.0222,1.0625,1.593,1.3952,0.5216,0.447,0.8077,1.4543,1.3195,1.7368,0.541,0.4032,0.7548,0.67,0.9492,0.8518,0.8427,0.8544,0.8381,0.895,0.9991,0.882,0.8074,0.8847,0.9949,0.8169
NA,"K00075",0,1,59.0104,188.7125,188.11,263.648,188.373,1,188.504,1,185.596,1,"Gaussian",0.5401,NA,-3.8589,2.4017,0.1093,-5.7532,2.4112,0.0177,3.3983,2.8194,0.2185,1.7888,-1.6239,-6.5495,3.2585,3.5773,0.6186,0.0682,-6.1969,-2.0731,3.6434,3.1694,0.0901,0.5136,-6.5795,0.7569,3.0269,3.9421,0.0306,0.8479,-5.3043,-6.3113,3.2585,3.6085,0.1047,0.0814,-11.3429,-1.4653,3.6434,3.1914,0.002,0.6465,-6.5969,-4.3092,3.0269,3.9842,0.0302,0.2804,0.494,0.2732,0.8985,0.7322,0.7222,0.7231,0.708,0.38,0.8922,0.9271,0.4652,0.4652,0.9706,0.7513
NA,"K00077",0,1,44.5871,153.0597,154.815,205.882,154.64,1,153.609,1,155.618,1,"Gaussian",0.4609,NA,-0.3571,2.4297,0.8832,-2.4006,2.4392,0.3259,2.4603,1.3901,0.3175,1.598,-2.0217,1.6377,3.2981,3.6212,0.5404,0.6514,0.0365,-0.6515,3.7145,3.2317,0.9922,0.8404,-2.5055,3.2995,3.0588,3.9837,0.4134,0.4082,-1.9581,-2.9363,3.2981,3.6528,0.5532,0.4222,-3.1869,-1.7974,3.7145,3.2541,0.3917,0.5811,-5.0989,2.2676,3.0588,4.0262,0.0966,0.5738,0.9539,0.675,0.8742,0.8781,0.9124,0.8273,0.9989,0.875,0.968,0.9093,0.8219,0.604,0.8199,0.895
